"管理番号","機器名称","開始日","状況","現所在地ＣＤ","現所在地","型式","製造ＣＤ","管理部署","分類ＣＤ","分類","メーカーＣＤ","メーカー","配備部署","ME.No","カタログ名称","SystemID","資産番号","資産区分","納入年月日","廃棄フラグ","廃棄年月日","廃棄予定日","廃棄担当者","代表機種","年間保守契約","年間保守費用","常設機器","統計対象外","運転実時間","耐用年数","可用年数","所属コード","購入価格"
"21-0008","BISxモジュール LoC 2 Channel","2024/12/07 16:40:39","保守開始","109200","日本光電工業","186-0195-NK","B255465","新　ＭＥ室","0221410","単項目モニタ","109200","日本光電工業","新　手術室","OR8","BISxモジュール LoC 2 Channel","","","固定資産","2021/06/28 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"21-0019","BISxモジュール LoC 2 Channel","2025/01/16 9:46:00","貸出中","114","新　ICU","186-0195-NK","B254787","新　臨床工学室","0221410","単項目モニタ","109200","日本光電工業","新　ICU","ICU２","BISxモジュール LoC 2 Channel","","","固定資産","2021/07/29 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"19-0027","BISxモジュール LoC 2 Channel","2024/01/27 14:19:55","貸出中","113","新　手術室","QE-910P","B243868","新　ＭＥ室","0221410","単項目モニタ","109200","日本光電工業","新　手術室","OR5","BISプロセッサ","","","固定資産","2019/11/15 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"24-0047","BISxモジュール LoC 2 Channel","","","113","新　手術室","186-0195-NK","B2C3049","新　臨床工学室","0221410","単項目モニタ","109200","日本光電工業","新　手術室","","BISxモジュール LoC 2 Channel","","","固定資産","2024/11/27 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"13-0349","BISプロセッサ","2024/10/21 13:06:00","","108","新　臨床工学室","QE-910P","BX63466","新　ＭＥ室","0221410","単項目モニタ","109200","日本光電工業","新　ＭＥ室","一時貸出用２","BISプロセッサ","","","固定資産","2013/12/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"13-0348","BISプロセッサ","2025/05/19 14:18:00","貸出中","114","新　ICU","QE-910P","BX63391","新　ＭＥ室","0221410","単項目モニタ","109200","日本光電工業","新　ＭＥ室","一時貸出用１","BISプロセッサ","","","固定資産","2013/12/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"16-0020","BISプロセッサ","2023/12/28 16:05:39","保守開始","108","新　ＭＥ室","QE-910P","BX20985","新　臨床工学室","0221410","単項目モニタ","109200","日本光電工業","新　ＭＥ室","一時貸出用3","BISプロセッサ","","","その他","2016/11/17 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"17-3141","BISプロセッサ","2024/03/05 10:07:31","貸出中","132","新　アンギオ室","QE-910P","B220270","新　ＭＥ室","0221410","単項目モニタ","109200","日本光電工業","新　アンギオ室","アンギオ１","BISプロセッサ","","","固定資産","2017/10/11 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"19-0006","BISプロセッサ","2025/05/19 12:14:00","貸出中","114","新　ICU","QE-910P","B246055","新　ＭＥ室","0221410","単項目モニタ","109200","日本光電工業","新　ＭＥ室","一時貸出用4","BISプロセッサ","","","固定資産","2019/09/30 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"19-5008","BISプロセッサ","2024/11/18 11:51:00","","108","新　臨床工学室","QE-910P","B243876","新　ＭＥ室","0221410","単項目モニタ","109200","日本光電工業","新　ＭＥ室","一時貸出用5（現在一時的にOPE8）","BISプロセッサ","","","固定資産","2019/12/19 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"20-3004","BISプロセッサ","2024/02/22 15:14:00","","108","新　ＭＥ室","186-0195-NK","B251803","新　ＭＥ室","0221410","単項目モニタ","109200","日本光電工業","新　ＭＥ室","一時貸出用6","BISxモジュール LoC 2 Channel","","","固定資産","2020/09/18 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"20-0018","BISプロセッサ","2023/10/20 11:34:13","保守開始","108","新　ＭＥ室","QE-910P","B241415","新　臨床工学室","0221410","単項目モニタ","109200","日本光電工業","新　ICU","ICU1","BISプロセッサ","","","固定資産","2018/09/22 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"23-3004","BISプロセッサ","2023/06/24 11:23:00","貸出中","113","新　手術室","186-0195-NK","B298768","新　ＭＥ室","0221410","単項目モニタ","109200","日本光電工業","新　手術室","OR1","BISxモジュール LoC 2 Channel","","","固定資産","2023/05/31 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"23-3038","BISプロセッサ","2023/06/24 11:14:00","貸出中","113","新　手術室","186-0195-NK","B2A2857","新　ＭＥ室","0221410","単項目モニタ","109200","日本光電工業","新　手術室","OR2","BISxモジュール LoC 2 Channel","","","固定資産","2023/06/24 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"23-3039","BISプロセッサ","2023/06/24 11:14:00","貸出中","113","新　手術室","186-0195-NK","B2A2873","新　ＭＥ室","0221410","単項目モニタ","109200","日本光電工業","新　手術室","OR3","BISxモジュール LoC 2 Channel","","","固定資産","2023/06/24 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"23-3040","BISプロセッサ","2023/06/24 11:14:00","貸出中","113","新　手術室","186-0195-NK","B2A2874","新　ＭＥ室","0221410","単項目モニタ","109200","日本光電工業","新　手術室","OR4","BISxモジュール LoC 2 Channel","","","固定資産","2023/06/24 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"23-3041","BISプロセッサ","2023/06/24 11:14:00","貸出中","113","新　手術室","186-0195-NK","B2A2875","新　ＭＥ室","0221410","単項目モニタ","109200","日本光電工業","新　手術室","OR6","BISxモジュール LoC 2 Channel","","","固定資産","2023/06/24 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"23-3042","BISプロセッサ","2023/06/24 11:14:00","貸出中","113","新　手術室","186-0195-NK","B2A2877","新　ＭＥ室","0221410","単項目モニタ","109200","日本光電工業","新　手術室","OR7","BISxモジュール LoC 2 Channel","","","固定資産","2023/06/24 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"10-1746","CAP-ONE　CO2　ADAPTER","2024/10/03 21:29:00","貸出中","117","新　CCU","TG-920P","06014AC","新　ＭＥ室","0221640","呼気ガス分析装置","109200","日本光電工業","新　ＭＥ室","ME","CAP-ONE　CO2　ADAPTER","","","固定資産","2010/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"10-1748","CAP-ONE　CO2　ADAPTER","2024/10/07 16:05:17","保守開始","109200","日本光電工業","TG-920P","06167AC","新　ＭＥ室","0221640","呼気ガス分析装置","109200","日本光電工業","新　ＭＥ室","ME","CAP-ONE　CO2　ADAPTER","","","固定資産","2010/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"12-0043","CAP-ONE　CO2　ADAPTER","2024/03/19 9:29:50","保守開始","108","新　ＭＥ室","TG-920P","08750AC","新　臨床工学室","0221640","呼気ガス分析装置","109200","日本光電工業","新　ＭＥ室","ME","CAP-ONE　CO2　ADAPTER","","","固定資産","2010/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"13-0020","CAP-ONE　CO2　ADAPTER","2025/02/14 10:05:00","貸出中","101","新　東3階(救急)","TG-920P","18644","新　ＭＥ室","0221640","呼気ガス分析装置","109200","日本光電工業","新　ＭＥ室","ME","CAP-ONE　CO2　ADAPTER","","","固定資産","2014/01/31 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"17-0018","CAP-ONE　CO2　ADAPTER","2025/02/26 15:48:00","貸出中","111","新　西6階","TG-920P","37769BD","新　ＭＥ室","0221640","呼気ガス分析装置","109200","日本光電工業","新　ＭＥ室","ME","CAP-ONE　CO2　ADAPTER","","","固定資産","2017/12/26 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"21-3011","CAP-ONE　CO2　ADAPTER","2023/10/31 9:53:00","貸出中","66","DMAT","TG-920P","53992","DMAT","0221640","呼気ガス分析装置","109200","日本光電工業","DMAT","救急車用","CAP-ONE　CO2　ADAPTER","","","固定資産","2021/07/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"23-3001","CAP-ONE　CO2　ADAPTER","2025/05/15 11:29:00","貸出中","114","新　ICU","TG-980P","30285","新　ＭＥ室","0221640","呼気ガス分析装置","109200","日本光電工業","新　ＭＥ室","","CAP-ONE　CO2　ADAPTER","","","固定資産","2023/05/19 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"23-3002","CAP-ONE　CO2　ADAPTER","2024/08/23 11:13:00","貸出中","140","新　エコー室","TG-980P","08418","新　ＭＥ室","0221640","呼気ガス分析装置","109200","日本光電工業","新　エコー室","エコー室専用","CAP-ONE　CO2　ADAPTER","","","固定資産","2023/05/19 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"23-3003","CAP-ONE　CO2　ADAPTER","2025/05/17 21:14:00","","108","新　臨床工学室","TG-980P","24044","新　ＭＥ室","0221640","呼気ガス分析装置","109200","日本光電工業","新　ＭＥ室","ICU2","CAP-ONE　CO2　ADAPTER","","","固定資産","2023/05/19 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"23-3045","CAP-ONE　CO2　ADAPTER","2025/05/20 10:05:00","","108","新　臨床工学室","TG-980P","31689","新　ＭＥ室","0221640","呼気ガス分析装置","109200","日本光電工業","新　ＭＥ室","ME貸出用","CAP-ONE　CO2　ADAPTER","","","固定資産","2023/09/14 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"23-3046","CAP-ONE　CO2　ADAPTER","2025/05/17 21:14:00","","108","新　臨床工学室","TG-980P","31690","新　ＭＥ室","0221640","呼気ガス分析装置","109200","日本光電工業","新　ＭＥ室","ME貸出用","CAP-ONE　CO2　ADAPTER","","","固定資産","2023/09/14 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"23-3044","CAP-ONE　CO2　ADAPTER","2025/05/16 5:15:00","貸出中","114","新　ICU","TG-980P","31688","新　ＭＥ室","0221640","呼気ガス分析装置","109200","日本光電工業","新　ＭＥ室","ME貸出用","CAP-ONE　CO2　ADAPTER","","","固定資産","2023/09/14 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"22-3040","CAP-ONE　CO2　ADAPTER","2024/08/01 14:27:00","貸出中","128","新　内視鏡室","TG-980P","","新　ＭＥ室","0221640","呼気ガス分析装置","109200","日本光電工業","新　内視鏡室","内視鏡専用","CAP-ONE　CO2　ADAPTER","","","固定資産","2024/02/15 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"24-3006","CAP-ONE　CO2　ADAPTER","2025/05/18 22:14:00","貸出中","114","新　ICU","TG-980P","34839","新　ＭＥ室","0221640","呼気ガス分析装置","109200","日本光電工業","新　ＭＥ室","ME貸出用","CAP-ONE　CO2　ADAPTER","","","固定資産","2024/04/19 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"24-0003","CAP-ONE　CO2　ADAPTER","2025/05/14 11:42:00","貸出中","114","新　ICU","TG-980P","","新　ＭＥ室","0221640","呼気ガス分析装置","109200","日本光電工業","新　ＭＥ室","","CAP-ONE　CO2　ADAPTER","","","固定資産","2024/07/10 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"10-1594","セントラルモニタ","2024/03/06 10:01:30","","108","新　ＭＥ室","MU-960R","01199","新　ＭＥ室","0221400","セントラルモニタ","109200","日本光電工業","新　ＭＥ室","予備機","セントラルモニタ","","00001396-00","固定資産","2010/12/22 0:00:00","False","","","","False","False","0","False","False","","6","","","0"
"13-0038","セントラルモニタ","2024/01/31 11:06:36","貸出中","111","新　西6階","PU-621R","1071","新　ＭＥ室","0221400","セントラルモニタ","109200","日本光電工業","新　西6階","CNS-6201","セントラルモニタ","","","固定資産","2013/12/27 0:00:00","False","","","","False","False","0","False","False","","5","","","0"
