"管理番号","機器名称","開始日","状況","現所在地ＣＤ","現所在地","型式","製造ＣＤ","管理部署","分類ＣＤ","分類","メーカーＣＤ","メーカー","配備部署","ME.No","カタログ名称","SystemID","資産番号","資産区分","納入年月日","廃棄フラグ","廃棄年月日","廃棄予定日","廃棄担当者","代表機種","年間保守契約","年間保守費用","常設機器","統計対象外","運転実時間","耐用年数","可用年数","所属コード","購入価格"
"Dummy-02873","内視鏡光源装置","","","113","新　手術室","CLV-260SL　100V","792144","新　ＭＥ室","0525520","内視鏡光源装置","034600","オリンパス","新　手術室","","内視鏡光源装置","","","固定資産","2010/03/01 0:00:00","False","","","","False","False","0","False","False","","0","0","","0"
"Dummy-02750","ビデオシステム","","","113","新　手術室","OTV-SC","","新　ＭＥ室","0525530","内視鏡ビデオ装置","034600","オリンパス","新　手術室","","ビデオシステム","","","固定資産","2018/03/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"Dummy-02740","大動脈ﾊﾞﾙｰﾝﾎﾟﾝﾌﾟ　CARDIOSAVE","","","108","新　ＭＥ室","CARDIOSAVE-H","CH242050J6","新　ＭＥ室","0407200","補助循環装置","046600","ゲティンゲ・ジャパン","新　ＭＥ室","22-7007","大動脈ﾊﾞﾙｰﾝﾎﾟﾝﾌﾟ　CARDIOSAVE","","","固定資産","2023/12/29 0:00:00","False","","","","False","False","0","False","False","","7","0","","0"
"Dummy-02738","記録器","2023/01/16 13:17:14","貸出中","117","新　CCU","WS-470P","7995","新　ＭＥ室","0221405","多項目モニタ","109200","日本光電工業","新　CCU","","記録器","","","固定資産","2021/03/02 0:00:00","False","","","","False","False","0","False","False","","0","0","","0"
"Dummy-02534","記録器","2023/01/23 9:47:00","貸出中","106","新　東7階","WS-470P","12597","新　ＭＥ室","0221405","多項目モニタ","109200","日本光電工業","新　東7階","","記録器","","","固定資産","2021/09/29 0:00:00","False","","","","False","False","0","False","False","","0","0","","0"
"Dummy-01986","電子スパイロメータ","","","139","新　生理検査室","ＤＩＳＣＯＭ－５１","510203","新　生理検査室","0221610","呼吸機能検査装置","086200","チェスト","新　生理検査室","","電子スパイロメータ","","","その他","2020/11/17 0:00:00","False","","","","False","False","0","False","False","","0","0","","0"
"Dummy-01644","パノラマ×線撮影装置　Hyper-Xシリーズ","","","80","放射線科","Hyper-G CM","24712802","放射線科","0109420","診断用Ｘ線関連装置","012850","朝日レントゲン工業","放射線科","","パノラマ×線撮影装置　Hyper-Xシリーズ","","","固定資産","2019/02/04 0:00:00","False","","","","False","False","0","False","False","","6","","","0"
"Dummy-01221","電子リニタ探触子","","","108","新　ＭＥ室","UST-5412","","新　ＭＥ室","0212020","超音波診断用プローブ","018400","アロカ","新　ＭＥ室","","電子リニタ探触子","","","固定資産","2016/11/24 0:00:00","False","","","","False","False","0","False","False","","3","","","0"
"Dummy-01077","バイポーラ凝固切開装置","2016/01/20 10:59:00","貸出中","113","新　手術室","CMC-Ⅲ","HP6678AU","新　手術室","0329000","電気手術器","066600","ジョンソン・エンド・ジョンソン","新　手術室","","バイポーラ凝固切開装置","","1010-23","固定資産","2008/02/29 0:00:00","False","","","","False","False","0","False","False","","","","","0"
"Dummy-00764","4C-RSﾌﾟﾛｰﾌﾞ","","","102","新　東4階(小児科)","4C-RS","","新　東4階(小児科)","0212020","超音波診断用プローブ","002520","GEヘルスケア・ジャパン","新　東4階(小児科)","","4C-RSﾌﾟﾛｰﾌﾞ","","00001582-00","固定資産","2013/12/24 0:00:00","False","","","","False","False","0","False","False","","5","","","0"
"99-0204","超音波診断用プローブ","","","109","新　西4階","C5-1","B3632B","呼吸器内科","0212020","超音波診断用プローブ","129600","フィリップスメディカルシステムズ","新　西4階","","超音波診断用プローブ","","00001833-00","固定資産","2018/02/15 0:00:00","False","","","","False","False","0","False","False","","4","","","0"
"99-0196","クローバーシリーズ","","","126","新　救急外来","CV03G","BY02082","新　救急外来","0302000","手術用照明器","156400","山田医療照明","新　救急外来","","クローバーシリーズ","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
"99-0195","クローバーシリーズ","","","126","新　救急外来","CV03G","BY02079","新　救急外来","0302000","手術用照明器","156400","山田医療照明","新　救急外来","","クローバーシリーズ","","","固定資産","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","0","","","0"
